,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,71.0,1013.0,71.0,1013.0,2020-08-08,2020-08-02,6710,7794.0,6781
1,273.0,1098.0,344.0,2111.0,2020-08-15,2020-08-09,6794,7619.0,6521
2,446.0,1179.0,790.0,3290.0,2020-08-22,2020-08-16,6612,7345.0,6166
3,299.0,215.0,1089.0,3505.0,2020-08-29,2020-08-23,6192,6108.0,5893
4,463.0,503.0,1552.0,4008.0,2020-09-05,2020-08-30,5900,5940.0,5437
5,661.0,739.0,2213.0,4747.0,2020-09-12,2020-09-06,5383,5461.0,4722
6,315.0,640.0,2528.0,5387.0,2020-09-19,2020-09-13,4802,4477.0,5117
7,154.0,648.0,2682.0,6035.0,2020-09-26,2020-09-20,4964,4470.0,5118
8,399.0,76.0,3081.0,6111.0,2020-10-03,2020-09-27,5017,4694.0,4618
9,71.0,11.0,3152.0,6122.0,2020-10-10,2020-10-04,4646,4706.0,4717
10,80.0,251.0,3232.0,6373.0,2020-10-17,2020-10-11,4702,5033.0,4782
11,524.0,367.0,3756.0,6740.0,2020-10-24,2020-10-18,4847,5004.0,5371
12,226.0,211.0,3982.0,6951.0,2020-10-31,2020-10-25,5339,5354.0,5565
13,1224.0,560.0,5206.0,7511.0,2020-11-07,2020-11-01,5546,6210.0,6770
14,619.0,465.0,5825.0,7976.0,2020-11-14,2020-11-08,6776,6930.0,7395
15,2670.0,1809.0,8495.0,9785.0,2020-11-21,2020-11-15,7424,8285.0,10094
16,566.0,4003.0,9061.0,13788.0,2020-11-28,2020-11-22,10341,13778.0,9775
17,4912.0,4388.0,13973.0,18176.0,2020-12-05,2020-11-29,9753,10277.0,14665
18,1467.0,1324.0,15440.0,19500.0,2020-12-12,2020-12-06,14756,14899.0,16223
19,1192.0,2019.5200000000004,16632.0,21519.52,2020-12-19,2020-12-13,16323,15495.48,17515
20,2821.0,633.9080000000013,19453.0,22153.428,2020-12-26,2020-12-20,17635,15447.908000000001,14814
21,3091.0,3501.9719999999998,22544.0,25655.4,2021-01-02,2020-12-27,14455,14044.028,17546
22,3875.0,6236.219999999999,26419.0,31891.620000000003,2021-01-09,2021-01-03,17106,14744.78,20981
23,319.0,3570.0,26738.0,35461.62,2021-01-16,2021-01-10,21105,17854.0,21424
24,1701.0,2332.0,28439.0,37793.62,2021-01-23,2021-01-17,21579,22210.0,19878
25,58.0,846.0,28497.0,38639.62,2021-01-30,2021-01-24,20171,21075.0,20229
26,895.0,1703.0,29392.0,40342.62,2021-02-06,2021-01-31,20417,21225.0,19522
27,2928.0,4029.0,32320.0,44371.62,2021-02-13,2021-02-07,19222,20323.0,16294
28,3927.0,10683.0,36247.0,55054.62,2021-02-20,2021-02-14,16041,22797.0,12114
29,455.0,1562.0,36702.0,56616.62,2021-02-27,2021-02-21,12392,11285.0,12847
30,1714.0,892.0,38416.0,57508.62,2021-03-06,2021-02-28,12753,10147.0,11039
31,2368.0,3212.0,40784.0,60720.62,2021-03-13,2021-03-07,10431,11275.0,8063
32,1245.0,2190.0,42029.0,62910.62,2021-03-20,2021-03-14,7890,8835.0,6645
33,382.0,1275.0,42411.0,64185.62,2021-03-27,2021-03-21,6735,7628.0,6353
34,795.0,1130.0,43206.0,65315.62,2021-04-03,2021-03-28,6270,6605.0,5475
35,1468.0,1659.0,44674.0,66974.62,2021-04-10,2021-04-04,5124,4933.0,6592
36,1681.0,2475.0,46355.0,69449.62,2021-04-17,2021-04-11,6420,7214.0,4739
37,95.0,918.8333333333303,46450.0,70368.45333333332,2021-04-24,2021-04-18,4616,5629.83333333333,4711
38,88.0,189.0,46538.0,70557.45333333332,2021-05-01,2021-04-25,4501,4400.0,4589
39,47.0,705.0,46585.0,71262.45333333332,2021-05-08,2021-05-02,4437,5189.0,4484
40,402.0,981.0,46987.0,72243.45333333332,2021-05-15,2021-05-09,4250,4829.0,3848
41,52.0,199.0,47039.0,72442.45333333332,2021-05-22,2021-05-16,3713,3462.0,3661
42,850.0,1270.0,47889.0,73712.45333333332,2021-05-29,2021-05-23,3457,3037.0,4307
43,906.0,833.0,48795.0,74545.45333333332,2021-06-05,2021-05-30,4018,3945.0,3112
44,764.0,218.0,49559.0,74763.45333333332,2021-06-12,2021-06-06,3114,2568.0,2350
45,141.0,365.0,49700.0,75128.45333333332,2021-06-19,2021-06-13,2148,2372.0,2007
46,131.0,321.0,49831.0,75449.45333333332,2021-06-26,2021-06-20,1900,1710.0,2031
47,257.0,129.0,50088.0,75578.45333333332,2021-07-03,2021-06-27,1846,1718.0,1589
48,57.0,61.0,50145.0,75639.45333333332,2021-07-10,2021-07-04,1484,1602.0,1541
49,150.0,31.0,50295.0,75670.45333333332,2021-07-17,2021-07-11,1531,1650.0,1681
50,179.0,146.0,50474.0,75816.45333333332,2021-07-24,2021-07-18,1628,1953.0,1807
51,743.0,441.0,51217.0,76257.45333333332,2021-07-31,2021-07-25,1707,2009.0,2450
52,973.0,40.0,52190.0,76297.45333333332,2021-08-07,2021-08-01,2406,3339.0,3379
53,1327.0,771.0,53517.0,77068.45333333332,2021-08-14,2021-08-08,3145,3701.0,4472
54,2893.0,1582.0,56410.0,78650.45333333332,2021-08-21,2021-08-15,4159,5470.0,7052
55,2656.0,459.0,59066.0,79109.45333333332,2021-08-28,2021-08-22,6194,8391.0,8850
56,2988.0,734.0,62054.0,79843.45333333332,2021-09-04,2021-08-29,7778,10032.0,10766
57,2033.0,162.0,64087.0,80005.45333333332,2021-09-11,2021-09-05,9429,11624.0,11462
58,2520.0,1091.0,66607.0,81096.45333333332,2021-09-18,2021-09-12,11199,12628.0,13719
59,2115.0,793.0,68722.0,81889.45333333332,2021-09-25,2021-09-19,11911,13233.0,14026
60,912.0,2356.0,69634.0,84245.45333333332,2021-10-02,2021-09-26,12290,10846.0,13202
61,167.0,202.0,69801.0,84447.45333333332,2021-10-09,2021-10-03,11397,11432.0,11230
62,1433.0,1133.0,71234.0,85580.45333333332,2021-10-16,2021-10-10,9739,10039.0,11172
63,985.0,2054.0,72219.0,87634.45333333332,2021-10-23,2021-10-17,10520,9451.0,11505
64,960.0,754.0,73179.0,88388.45333333332,2021-10-30,2021-10-24,10003,9797.0,9043
65,1051.0,265.0,74230.0,88653.45333333332,2021-11-13,2021-11-07,7223,8539.0,8274
66,593.0,79.0,74823.0,88732.45333333332,2021-11-20,2021-11-14,7247,7919.0,7840
67,1344.0,3092.0,76167.0,91824.45333333332,2021-11-27,2021-11-21,6766,8514.0,5422
68,7073.0,4981.0,83240.0,96805.45333333332,2021-12-04,2021-11-28,4397,6489.0,11470
69,1458.0,1272.0,84698.0,98077.45333333332,2021-12-11,2021-12-05,9845,9659.0,8387
70,946.0,1992.0,85644.0,100069.45333333332,2021-12-18,2021-12-12,7338,10276.0,8284
71,2627.0,104.0,88271.0,100173.45333333332,2021-12-25,2021-12-19,7157,9888.0,9784
