,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,189.0,1807.0,189.0,1807.0,2020-08-15,2020-08-02,6710,8328.0,6521
1,628.0,1682.0,817.0,3489.0,2020-08-22,2020-08-09,6794,7848.0,6166
2,719.0,1594.0,1536.0,5083.0,2020-08-29,2020-08-16,6612,7487.0,5893
3,755.0,731.0,2291.0,5814.0,2020-09-05,2020-08-23,6192,6168.0,5437
4,1178.0,854.0,3469.0,6668.0,2020-09-12,2020-08-30,5900,5576.0,4722
5,266.0,5.0,3735.0,6673.0,2020-09-19,2020-09-06,5383,5122.0,5117
6,316.0,1078.0,4051.0,7751.0,2020-09-26,2020-09-13,4802,4040.0,5118
7,346.0,513.0,4397.0,8264.0,2020-10-03,2020-09-20,4964,4105.0,4618
8,300.0,271.0,4697.0,8535.0,2020-10-10,2020-09-27,5017,4446.0,4717
9,136.0,249.0,4833.0,8784.0,2020-10-17,2020-10-04,4646,4533.0,4782
10,669.0,370.0,5502.0,9154.0,2020-10-24,2020-10-11,4702,5001.0,5371
11,718.0,539.0,6220.0,9693.0,2020-10-31,2020-10-18,4847,5026.0,5565
12,1431.0,1365.0,7651.0,11058.0,2020-11-07,2020-10-25,5339,5405.0,6770
13,1849.0,769.0,9500.0,11827.0,2020-11-14,2020-11-01,5546,6626.0,7395
14,3318.0,2660.0,12818.0,14487.0,2020-11-21,2020-11-08,6776,7434.0,10094
15,2351.0,676.0,15169.0,15163.0,2020-11-28,2020-11-15,7424,9099.0,9775
16,4324.0,4110.0,19493.0,19273.0,2020-12-05,2020-11-22,10341,18775.0,14665
17,6470.0,5739.0,25963.0,25012.0,2020-12-12,2020-11-29,9753,10484.0,16223
18,2759.0,654.0,28722.0,25666.0,2020-12-19,2020-12-06,14756,16861.0,17515
19,1509.0,2310.4350000000013,30231.0,27976.435,2020-12-26,2020-12-13,16323,17124.435,14814
20,89.0,544.0499999999993,30320.0,28520.485,2021-01-02,2020-12-20,17635,17001.95,17546
21,6526.0,6574.692499999999,36846.0,35095.1775,2021-01-09,2020-12-27,14455,14406.3075,20981
22,4318.0,5169.754999999999,41164.0,40264.932499999995,2021-01-16,2021-01-03,17106,16254.245,21424
23,1227.0,1882.0,42391.0,42146.932499999995,2021-01-23,2021-01-10,21105,17996.0,19878
24,1350.0,1974.0,43741.0,44120.932499999995,2021-01-30,2021-01-17,21579,22203.0,20229
25,649.0,1649.0,44390.0,45769.932499999995,2021-02-06,2021-01-24,20171,21171.0,19522
26,4123.0,2455.0,48513.0,48224.932499999995,2021-02-13,2021-01-31,20417,18749.0,16294
27,7108.0,7109.0,55621.0,55333.932499999995,2021-02-20,2021-02-07,19222,19223.0,12114
28,3194.0,10823.0,58815.0,66156.9325,2021-02-27,2021-02-14,16041,23670.0,12847
29,1353.0,2170.0,60168.0,68326.9325,2021-03-06,2021-02-21,12392,8869.0,11039
30,4690.0,474.0,64858.0,68800.9325,2021-03-13,2021-02-28,12753,8537.0,8063
31,3786.0,3582.0,68644.0,72382.9325,2021-03-20,2021-03-07,10431,10227.0,6645
32,1537.0,1347.0,70181.0,73729.9325,2021-03-27,2021-03-14,7890,7700.0,6353
33,1260.0,1594.0,71441.0,75323.9325,2021-04-03,2021-03-21,6735,7069.0,5475
34,322.0,90.0,71763.0,75413.9325,2021-04-10,2021-03-28,6270,6502.0,6592
35,385.0,414.0,72148.0,75827.9325,2021-04-17,2021-04-04,5124,4325.0,4739
