,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,1940.0,1825.6536193598859,1940.0,1825.6536193598859,2020-07-04,2020-06-06,5284,5169.653619359886,3344
1,293.0,539.6686589209421,2233.0,2365.322278280828,2020-07-11,2020-06-13,4662,4415.331341079058,4955
2,1221.0,1366.8468084649653,3454.0,3732.1690867457933,2020-07-18,2020-06-20,3833,3687.1531915350347,5054
3,2457.0,720.1906945114652,5911.0,4452.359781257259,2020-07-25,2020-06-27,3542,5278.809305488535,5999
4,4009.0,3032.1157984535703,9920.0,7484.475579710829,2020-08-01,2020-07-04,3344,4320.88420154643,7353
5,1826.0,802.2129781280564,11746.0,8286.688557838886,2020-08-08,2020-07-11,4955,5978.787021871944,6781
6,1467.0,102.0,13213.0,8388.688557838886,2020-08-15,2020-07-18,5054,6419.0,6521
7,167.0,1032.0,13380.0,9420.688557838886,2020-08-22,2020-07-25,5999,7198.0,6166
8,1460.0,695.0,14840.0,10115.688557838886,2020-08-29,2020-08-01,7353,6588.0,5893
9,1344.0,1439.0,16184.0,11554.688557838886,2020-09-05,2020-08-08,6781,6876.0,5437
10,1799.0,853.0,17983.0,12407.688557838886,2020-09-12,2020-08-15,6521,5575.0,4722
11,1049.0,828.0,19032.0,13235.688557838886,2020-09-19,2020-08-22,6166,5945.0,5117
12,775.0,176.0,19807.0,13411.688557838886,2020-09-26,2020-08-29,5893,5294.0,5118
13,819.0,691.0,20626.0,14102.688557838886,2020-10-03,2020-09-05,5437,5309.0,4618
14,5.0,167.0,20631.0,14269.688557838886,2020-10-10,2020-09-12,4722,4550.0,4717
15,335.0,198.0,20966.0,14467.688557838886,2020-10-17,2020-09-19,5117,4980.0,4782
16,253.0,364.0,21219.0,14831.688557838886,2020-10-24,2020-09-26,5118,5007.0,5371
17,947.0,750.0,22166.0,15581.688557838886,2020-10-31,2020-10-03,4618,4815.0,5565
18,2053.0,1631.0,24219.0,17212.688557838886,2020-11-07,2020-10-10,4717,5139.0,6770
19,2613.0,1980.0,26832.0,19192.688557838886,2020-11-14,2020-10-17,4782,5415.0,7395
20,4723.0,3568.0,31555.0,22760.688557838886,2020-11-21,2020-10-24,5371,6526.0,10094
21,4210.0,2741.0,35765.0,25501.688557838886,2020-11-28,2020-10-31,5565,7034.0,9775
22,7895.0,6059.0,43660.0,31560.688557838886,2020-12-05,2020-11-07,6770,8606.0,14665
23,8828.0,4828.0,52488.0,36388.68855783889,2020-12-12,2020-11-14,7395,11395.0,16223
24,7421.0,1634.0,59909.0,38022.68855783889,2020-12-19,2020-11-21,10094,15881.0,17515
25,5039.0,1604.0,64948.0,39626.68855783889,2020-12-26,2020-11-28,9775,13210.0,14814
26,2881.0,644.0,67829.0,40270.68855783889,2021-01-02,2020-12-05,14665,18190.0,17546
27,4758.0,627.0,72587.0,40897.68855783889,2021-01-09,2020-12-12,16223,21608.0,20981
28,3909.0,60.0,76496.0,40957.68855783889,2021-01-16,2020-12-19,17515,21484.0,21424
29,5064.0,2302.0,81560.0,43259.68855783889,2021-01-23,2020-12-26,14814,17576.0,19878
30,2684.0,2294.0,84244.0,45553.68855783889,2021-01-30,2021-01-02,17546,17936.0,20230
31,1459.0,2696.0,85703.0,48249.68855783889,2021-02-06,2021-01-09,20981,22218.0,19522
32,5130.0,6216.0,90833.0,54465.68855783889,2021-02-13,2021-01-16,21424,22510.0,16294
33,7764.0,6676.0,98597.0,61141.68855783889,2021-02-20,2021-01-23,19878,18790.0,12114
34,7383.0,4094.0,105980.0,65235.68855783889,2021-02-27,2021-01-30,20230,16941.0,12847
35,8483.0,3910.0,114463.0,69145.68855783889,2021-03-06,2021-02-06,19522,14949.0,11039
36,8231.0,4603.0,122694.0,73748.68855783889,2021-03-13,2021-02-13,16294,12666.0,8063
37,5469.0,1277.0,128163.0,75025.68855783889,2021-03-20,2021-02-20,12114,7922.0,6645
38,6494.0,1452.0,134657.0,76477.68855783889,2021-03-27,2021-02-27,12847,7805.0,6353
39,5564.0,1691.0,140221.0,78168.68855783889,2021-04-03,2021-03-06,11039,7166.0,5475
40,1471.0,484.0,141692.0,78652.68855783889,2021-04-10,2021-03-13,8063,6108.0,6592
41,1906.0,1284.0,143598.0,79936.68855783889,2021-04-17,2021-03-20,6645,6023.0,4739
42,1642.0,1501.0,145240.0,81437.68855783889,2021-04-24,2021-03-27,6353,6212.0,4711
43,885.0,822.0,146125.0,82259.68855783889,2021-05-01,2021-04-03,5475,5412.0,4590
44,2108.0,1559.0,148233.0,83818.68855783889,2021-05-08,2021-04-10,6592,6043.0,4484
45,891.0,1361.0,149124.0,85179.68855783889,2021-05-15,2021-04-17,4739,5209.0,3848
46,1050.0,353.0,150174.0,85532.68855783889,2021-05-22,2021-04-24,4711,4014.0,3661
47,282.0,888.0,150456.0,86420.68855783889,2021-05-29,2021-05-01,4590,3420.0,4308
48,1372.0,254.0,151828.0,86674.68855783889,2021-06-05,2021-05-08,4484,3366.0,3112
49,1498.0,317.0,153326.0,86991.68855783889,2021-06-12,2021-05-15,3848,2667.0,2350
50,1654.0,283.0,154980.0,87274.68855783889,2021-06-19,2021-05-22,3661,2290.0,2007
51,2277.0,325.0,157257.0,87599.68855783889,2021-06-26,2021-05-29,4308,2356.0,2031
52,1523.0,114.0,158780.0,87713.68855783889,2021-07-03,2021-06-05,3112,1703.0,1589
53,809.0,211.0,159589.0,87924.68855783889,2021-07-10,2021-06-12,2350,1752.0,1541
54,326.0,445.0,159915.0,88369.68855783889,2021-07-17,2021-06-19,2007,1236.0,1681
55,224.0,312.0,160139.0,88681.68855783889,2021-07-24,2021-06-26,2031,1495.0,1807
56,861.0,977.0,161000.0,89658.68855783889,2021-07-31,2021-07-03,1589,1473.0,2450
57,1838.0,1646.0,162838.0,91304.68855783889,2021-08-07,2021-07-10,1541,1733.0,3379
58,2791.0,1668.0,165629.0,92972.68855783889,2021-08-14,2021-07-17,1681,2804.0,4472
59,5245.0,3395.0,170874.0,96367.68855783889,2021-08-21,2021-07-24,1807,3657.0,7052
60,6400.0,4494.0,177274.0,100861.68855783889,2021-08-28,2021-07-31,2450,4356.0,8850
61,7387.0,3667.0,184661.0,104528.68855783889,2021-09-04,2021-08-07,3379,7099.0,10766
62,6991.0,3380.0,191652.0,107908.68855783889,2021-09-11,2021-08-14,4472,8083.0,11463
63,6667.0,2509.0,198319.0,110417.68855783889,2021-09-18,2021-08-21,7052,11210.0,13719
64,5177.0,2582.0,203496.0,112999.68855783889,2021-09-25,2021-08-28,8850,11445.0,14027
65,2438.0,761.0,205934.0,113760.68855783889,2021-10-02,2021-09-04,10766,12443.0,13204
66,231.0,72.0,206165.0,113832.68855783889,2021-10-09,2021-09-11,11463,11304.0,11232
67,2545.0,1289.0,208710.0,115121.68855783889,2021-10-16,2021-09-18,13719,12463.0,11174
68,2520.0,542.0,211230.0,115663.68855783889,2021-10-23,2021-09-25,14027,10965.0,11507
69,4157.0,273.0,215387.0,115936.68855783889,2021-10-30,2021-10-02,13204,8774.0,9047
70,2938.0,894.0,218325.0,116830.68855783889,2021-11-06,2021-10-09,11232,7400.0,8294
71,2885.0,1591.0,221210.0,118421.68855783889,2021-11-13,2021-10-16,11174,6698.0,8289
72,3636.0,1432.0,224846.0,119853.68855783889,2021-11-20,2021-10-23,11507,6439.0,7871
