,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,1428.0,1721.0445935207727,1428.0,1721.0445935207727,2020-06-27,2020-06-07,4970,5263.044593520773,3542
1,1154.0,1158.0318421833817,2582.0,2879.0764357041544,2020-07-04,2020-06-14,4498,4502.031842183382,3344
2,1206.0,1111.5286535326159,3788.0,3990.6050892367703,2020-07-11,2020-06-21,3749,3843.471346467384,4955
3,1569.0,20.541640219208603,5357.0,4011.146729455979,2020-07-18,2020-06-28,3485,5033.458359780791,5054
4,2702.0,1795.899050599678,8059.0,5807.045780055657,2020-07-25,2020-07-05,3297,4203.100949400322,5999
5,2296.0,1718.7816972649107,10355.0,7525.827477320568,2020-08-01,2020-07-12,5057,5634.218302735089,7353
6,1686.0,543.0,12041.0,8068.827477320568,2020-08-08,2020-07-19,5095,6238.0,6781
7,517.0,985.0,12558.0,9053.827477320567,2020-08-15,2020-07-26,6004,7506.0,6521
8,544.0,792.0,13102.0,9845.827477320567,2020-08-22,2020-08-02,6710,6958.0,6166
9,901.0,1005.0,14003.0,10850.827477320567,2020-08-29,2020-08-09,6794,6898.0,5893
10,1175.0,609.0,15178.0,11459.827477320567,2020-09-05,2020-08-16,6612,6046.0,5437
11,1470.0,1194.0,16648.0,12653.827477320567,2020-09-12,2020-08-23,6192,5916.0,4722
12,783.0,457.0,17431.0,13110.827477320567,2020-09-19,2020-08-30,5900,5574.0,5117
13,265.0,286.0,17696.0,13396.827477320567,2020-09-26,2020-09-06,5383,5404.0,5118
14,184.0,78.0,17880.0,13474.827477320567,2020-10-03,2020-09-13,4802,4696.0,4618
15,247.0,255.0,18127.0,13729.827477320567,2020-10-10,2020-09-20,4964,4972.0,4717
16,235.0,228.0,18362.0,13957.827477320567,2020-10-17,2020-09-27,5017,5010.0,4782
17,725.0,547.0,19087.0,14504.827477320567,2020-10-24,2020-10-04,4646,4824.0,5371
18,863.0,238.0,19950.0,14742.827477320567,2020-10-31,2020-10-11,4702,5327.0,5565
19,1923.0,1271.0,21873.0,16013.827477320567,2020-11-07,2020-10-18,4847,5499.0,6770
20,2056.0,1210.0,23929.0,17223.827477320567,2020-11-14,2020-10-25,5339,6185.0,7395
21,4548.0,3275.0,28477.0,20498.827477320567,2020-11-21,2020-11-01,5546,6819.0,10094
22,2999.0,1757.0,31476.0,22255.827477320567,2020-11-28,2020-11-08,6776,8018.0,9775
23,7241.0,4300.0,38717.0,26555.827477320567,2020-12-05,2020-11-15,7424,10365.0,14665
24,5882.0,1966.0,44599.0,28521.827477320567,2020-12-12,2020-11-22,10341,14257.0,16223
25,7762.0,4546.0,52361.0,33067.82747732056,2020-12-19,2020-11-29,9753,12969.0,17515
26,58.0,2192.0,52419.0,35259.82747732056,2020-12-26,2020-12-06,14756,17006.0,14814
27,1223.0,2881.0,53642.0,38140.82747732056,2021-01-02,2020-12-13,16323,20427.0,17546
28,3346.0,337.0,56988.0,38477.82747732056,2021-01-09,2020-12-20,17635,21318.0,20981
29,6969.0,3512.0,63957.0,41989.82747732056,2021-01-16,2020-12-27,14455,17912.0,21424
30,2772.0,1948.0,66729.0,43937.82747732056,2021-01-23,2021-01-03,17106,17930.0,19878
31,875.0,1891.0,67604.0,45828.82747732056,2021-01-30,2021-01-10,21105,22121.0,20230
32,2057.0,3747.0,69661.0,49575.82747732056,2021-02-06,2021-01-17,21579,23269.0,19522
33,3877.0,3902.0,73538.0,53477.82747732056,2021-02-13,2021-01-24,20171,20196.0,16294
34,8303.0,5957.0,81841.0,59434.82747732056,2021-02-20,2021-01-31,20417,18071.0,12114
35,6375.0,3310.0,88216.0,62744.82747732056,2021-02-27,2021-02-07,19222,16157.0,12847
36,5002.0,2977.0,93218.0,65721.82747732056,2021-03-06,2021-02-14,16041,14016.0,11039
37,4329.0,1548.0,97547.0,67269.82747732056,2021-03-13,2021-02-21,12392,9611.0,8063
38,6108.0,2215.0,103655.0,69484.82747732056,2021-03-20,2021-02-28,12753,8860.0,6645
39,4078.0,1390.0,107733.0,70874.82747732056,2021-03-27,2021-03-07,10431,7743.0,6353
40,2415.0,1373.0,110148.0,72247.82747732056,2021-04-03,2021-03-14,7890,6848.0,5475
41,143.0,411.0,110291.0,72658.82747732056,2021-04-10,2021-03-21,6735,6181.0,6592
42,1531.0,1420.0,111822.0,74078.82747732056,2021-04-17,2021-03-28,6270,6159.0,4739
43,413.0,906.0,112235.0,74984.82747732056,2021-04-24,2021-04-04,5124,5617.0,4711
44,1830.0,1117.0,114065.0,76101.82747732056,2021-05-01,2021-04-11,6420,5707.0,4590
45,132.0,841.0,114197.0,76942.82747732056,2021-05-08,2021-04-18,4616,5325.0,4484
46,653.0,483.0,114850.0,77425.82747732056,2021-05-15,2021-04-25,4501,4331.0,3848
47,777.0,191.0,115627.0,77616.82747732056,2021-05-22,2021-05-02,4438,3852.0,3661
48,58.0,825.0,115685.0,78441.82747732056,2021-05-29,2021-05-09,4250,3483.0,4308
49,601.0,109.0,116286.0,78550.82747732056,2021-06-05,2021-05-16,3713,3003.0,3112
50,1107.0,178.0,117393.0,78728.82747732056,2021-06-12,2021-05-23,3457,2528.0,2350
51,2012.0,622.0,119405.0,79350.82747732056,2021-06-19,2021-05-30,4019,2629.0,2007
52,1083.0,65.0,120488.0,79415.82747732056,2021-06-26,2021-06-06,3114,1966.0,2031
53,559.0,302.0,121047.0,79717.82747732056,2021-07-03,2021-06-13,2148,1891.0,1589
54,359.0,74.0,121406.0,79791.82747732056,2021-07-10,2021-06-20,1900,1467.0,1541
55,165.0,100.0,121571.0,79891.82747732056,2021-07-17,2021-06-27,1846,1581.0,1681
56,323.0,289.0,121894.0,80180.82747732056,2021-07-24,2021-07-04,1484,1518.0,1807
57,919.0,756.0,122813.0,80936.82747732056,2021-07-31,2021-07-11,1531,1694.0,2450
58,1751.0,883.0,124564.0,81819.82747732056,2021-08-07,2021-07-18,1628,2496.0,3379
