,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,622.0,1111.7258314889723,622.0,1111.7258314889723,2020-06-13,2020-06-06,5284,5773.725831488972,4662
1,829.0,1057.467505419214,1451.0,2169.193336908186,2020-06-20,2020-06-13,4662,4890.467505419214,3833
2,291.0,370.8706610185732,1742.0,2540.0639979267594,2020-06-27,2020-06-20,3833,3912.870661018573,3542
3,198.0,1091.0850351718655,1940.0,3631.149033098625,2020-07-04,2020-06-27,3542,4435.0850351718655,3344
4,1611.0,1150.869784540802,3551.0,4782.018817639427,2020-07-11,2020-07-04,3344,3804.130215459198,4955
5,99.0,174.97944983617344,3650.0,4956.9982674756,2020-07-18,2020-07-11,4955,4879.020550163827,5054
6,945.0,486.0,4595.0,5442.9982674756,2020-07-25,2020-07-18,5054,5513.0,5999
7,1354.0,444.0,5949.0,5886.9982674756,2020-08-01,2020-07-25,5999,6909.0,7353
8,572.0,575.0,6521.0,6461.9982674756,2020-08-08,2020-08-01,7353,7356.0,6781
9,260.0,767.0,6781.0,7228.9982674756,2020-08-15,2020-08-08,6781,7288.0,6521
10,355.0,484.0,7136.0,7712.9982674756,2020-08-22,2020-08-15,6521,6650.0,6166
11,273.0,468.0,7409.0,8180.9982674756,2020-08-29,2020-08-22,6166,6361.0,5893
12,456.0,557.0,7865.0,8737.9982674756,2020-09-05,2020-08-29,5893,5994.0,5437
13,715.0,886.0,8580.0,9623.9982674756,2020-09-12,2020-09-05,5437,5608.0,4722
14,395.0,147.0,8975.0,9770.9982674756,2020-09-19,2020-09-12,4722,4970.0,5117
15,1.0,157.0,8976.0,9927.9982674756,2020-09-26,2020-09-19,5117,4961.0,5118
16,500.0,510.0,9476.0,10437.9982674756,2020-10-03,2020-09-26,5118,5128.0,4618
17,99.0,100.0,9575.0,10537.9982674756,2020-10-10,2020-10-03,4618,4817.0,4717
18,65.0,307.0,9640.0,10844.9982674756,2020-10-17,2020-10-10,4717,5089.0,4782
19,589.0,360.0,10229.0,11204.9982674756,2020-10-24,2020-10-17,4782,5011.0,5371
20,194.0,162.0,10423.0,11366.9982674756,2020-10-31,2020-10-24,5371,5727.0,5565
21,1205.0,560.0,11628.0,11926.9982674756,2020-11-07,2020-10-31,5565,6210.0,6770
22,625.0,465.0,12253.0,12391.9982674756,2020-11-14,2020-11-07,6770,6930.0,7395
23,2699.0,1425.0,14952.0,13816.9982674756,2020-11-21,2020-11-14,7395,8669.0,10094
24,319.0,1325.0,15271.0,15141.9982674756,2020-11-28,2020-11-21,10094,11100.0,9775
25,4890.0,3167.0,20161.0,18308.9982674756,2020-12-05,2020-11-28,9775,11498.0,14665
26,1558.0,1140.0,21719.0,19448.9982674756,2020-12-12,2020-12-05,14665,15083.0,16223
27,1292.0,175.0,23011.0,19623.9982674756,2020-12-19,2020-12-12,16223,17340.0,17515
28,2701.0,4693.0,25712.0,24316.9982674756,2020-12-26,2020-12-19,17515,19507.0,14814
29,2732.0,13.0,28444.0,24329.9982674756,2021-01-02,2020-12-26,14814,17533.0,17546
30,3435.0,3040.0,31879.0,27369.9982674756,2021-01-09,2021-01-02,17546,17941.0,20981
31,443.0,377.0,32322.0,27746.9982674756,2021-01-16,2021-01-09,20981,21047.0,21424
32,1546.0,3139.0,33868.0,30885.9982674756,2021-01-23,2021-01-16,21424,23017.0,19878
33,352.0,845.0,34220.0,31730.9982674756,2021-01-30,2021-01-23,19878,21075.0,20230
34,708.0,940.0,34928.0,32670.9982674756,2021-02-06,2021-01-30,20230,20462.0,19522
35,3228.0,3392.0,38156.0,36062.9982674756,2021-02-13,2021-02-06,19522,19686.0,16294
36,4180.0,5601.0,42336.0,41663.9982674756,2021-02-20,2021-02-13,16294,17715.0,12114
37,733.0,526.0,43069.0,42189.9982674756,2021-02-27,2021-02-20,12114,12321.0,12847
38,1808.0,510.0,44877.0,42699.9982674756,2021-03-06,2021-02-27,12847,11549.0,11039
39,2976.0,2304.0,47853.0,45003.9982674756,2021-03-13,2021-03-06,11039,10367.0,8063
40,1418.0,1804.0,49271.0,46807.9982674756,2021-03-20,2021-03-13,8063,8449.0,6645
41,292.0,617.0,49563.0,47424.9982674756,2021-03-27,2021-03-20,6645,6970.0,6353
42,878.0,982.0,50441.0,48406.9982674756,2021-04-03,2021-03-27,6353,6457.0,5475
43,1117.0,799.0,51558.0,49205.9982674756,2021-04-10,2021-04-03,5475,5793.0,6592
44,1853.0,1068.0,53411.0,50273.9982674756,2021-04-17,2021-04-10,6592,5807.0,4739
45,28.0,521.0,53439.0,50794.9982674756,2021-04-24,2021-04-17,4739,5232.0,4711
46,121.0,118.0,53560.0,50912.9982674756,2021-05-01,2021-04-24,4711,4708.0,4590
47,106.0,66.0,53666.0,50978.9982674756,2021-05-08,2021-05-01,4590,4418.0,4484
48,636.0,509.0,54302.0,51487.9982674756,2021-05-15,2021-05-08,4484,4357.0,3848
49,187.0,81.0,54489.0,51568.9982674756,2021-05-22,2021-05-15,3848,3742.0,3661
50,647.0,1081.0,55136.0,52649.9982674756,2021-05-29,2021-05-22,3661,3227.0,4308
51,1196.0,345.0,56332.0,52994.9982674756,2021-06-05,2021-05-29,4308,3457.0,3112
52,762.0,265.0,57094.0,53259.9982674756,2021-06-12,2021-06-05,3112,2615.0,2350
53,343.0,331.0,57437.0,53590.9982674756,2021-06-19,2021-06-12,2350,2338.0,2007
54,24.0,211.0,57461.0,53801.9982674756,2021-06-26,2021-06-19,2007,1820.0,2031
55,442.0,244.0,57903.0,54045.9982674756,2021-07-03,2021-06-26,2031,1833.0,1589
56,48.0,22.0,57951.0,54067.9982674756,2021-07-10,2021-07-03,1589,1563.0,1541
57,140.0,65.0,58091.0,54132.9982674756,2021-07-17,2021-07-10,1541,1616.0,1681
58,126.0,148.0,58217.0,54280.9982674756,2021-07-24,2021-07-17,1681,1955.0,1807
59,643.0,257.0,58860.0,54537.9982674756,2021-07-31,2021-07-24,1807,2193.0,2450
60,929.0,642.0,59789.0,55179.9982674756,2021-08-07,2021-07-31,2450,2737.0,3379
61,1093.0,609.0,60882.0,55788.9982674756,2021-08-14,2021-08-07,3379,3863.0,4472
62,2580.0,1647.0,63462.0,57435.9982674756,2021-08-21,2021-08-14,4472,5405.0,7052
63,1798.0,1372.0,65260.0,58807.9982674756,2021-08-28,2021-08-21,7052,7478.0,8850
64,1916.0,906.0,67176.0,59713.9982674756,2021-09-04,2021-08-28,8850,9860.0,10766
65,697.0,83.0,67873.0,59796.9982674756,2021-09-11,2021-09-04,10766,11546.0,11463
66,2256.0,2335.0,70129.0,62131.9982674756,2021-09-18,2021-09-11,11463,11384.0,13719
67,308.0,826.0,70437.0,62957.9982674756,2021-09-25,2021-09-18,13719,13201.0,14027
68,823.0,189.0,71260.0,63146.9982674756,2021-10-02,2021-09-25,14027,13393.0,13204
69,1972.0,767.0,73232.0,63913.9982674756,2021-10-09,2021-10-02,13204,11999.0,11232
70,58.0,775.0,73290.0,64688.9982674756,2021-10-16,2021-10-09,11232,10399.0,11174
71,333.0,1956.0,73623.0,66644.9982674756,2021-10-23,2021-10-16,11174,9551.0,11507
72,2460.0,750.0,76083.0,67394.9982674756,2021-10-30,2021-10-23,11507,9797.0,9047
73,753.0,17.0,76836.0,67411.9982674756,2021-11-06,2021-10-30,9047,8277.0,8294
74,5.0,731.0,76841.0,68142.9982674756,2021-11-13,2021-11-06,8294,7558.0,8289
75,418.0,658.0,77259.0,68800.9982674756,2021-11-20,2021-11-13,8289,7213.0,7871
76,2375.0,1900.0,79634.0,70700.9982674756,2021-11-27,2021-11-20,7871,7396.0,5496
77,6229.0,4330.0,85863.0,75030.9982674756,2021-12-04,2021-11-27,5496,7395.0,11725
78,2971.0,1289.0,88834.0,76319.9982674756,2021-12-11,2021-12-04,11725,10043.0,8754
79,37.0,641.0,88871.0,76960.9982674756,2021-12-18,2021-12-11,8754,9432.0,8791
80,880.0,1448.0,89751.0,78408.9982674756,2021-12-25,2021-12-18,8791,8223.0,9671
81,998.0,1508.0,90749.0,79916.9982674756,2022-01-01,2021-12-25,9671,10181.0,8673
82,1980.0,4089.0,92729.0,84005.9982674756,2022-01-08,2022-01-01,8673,14742.0,10653
83,1379.0,865.0,94108.0,84870.9982674756,2022-01-15,2022-01-08,10653,11167.0,12032
