,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value,ground_truth_incidence
0,1490.7318813719066,1721.0445935207727,1490.7318813719066,1721.0445935207727,2020-06-27,2020-06-06,5032.731881371907,5263.044593520773,3542
1,1442.2407419116098,1158.0318421833817,2932.9726232835164,2879.0764357041544,2020-07-04,2020-06-13,4786.24074191161,4502.031842183382,3344
2,1249.674344184989,1111.5286535326159,4182.646967468505,3990.6050892367703,2020-07-11,2020-06-20,3705.325655815011,3843.471346467384,4955
3,1451.8191748321078,20.541640219208603,5634.466142300613,4011.146729455979,2020-07-18,2020-06-27,3602.180825167892,5033.458359780791,5054
4,2582.3133057666505,1795.899050599678,8216.779448067264,5807.045780055657,2020-07-25,2020-07-04,3416.6866942333495,4203.100949400322,5999
5,1832.5692554189745,1718.7816972649107,10049.348703486237,7525.827477320568,2020-08-01,2020-07-11,5520.4307445810255,5634.218302735089,7353
6,1625.9457039166782,543.0,11675.294407402915,8068.827477320568,2020-08-08,2020-07-18,5155.054296083322,6238.0,6781
7,118.5934880625955,985.0,11793.88789546551,9053.827477320567,2020-08-15,2020-07-25,6402.4065119374045,7506.0,6521
8,1546.6351029435882,792.0,13340.522998409098,9845.827477320567,2020-08-22,2020-08-01,7712.635102943588,6958.0,6166
9,1075.0341548805454,1005.0,14415.557153289643,10850.827477320567,2020-08-29,2020-08-08,6968.034154880545,6898.0,5893
10,1265.8576307285393,609.0,15681.414784018183,11459.827477320567,2020-09-05,2020-08-15,6702.857630728539,6046.0,5437
11,1529.7508401934874,1194.0,17211.16562421167,12653.827477320567,2020-09-12,2020-08-22,6251.750840193487,5916.0,4722
12,953.315805550501,457.0,18164.48142976217,13110.827477320567,2020-09-19,2020-08-29,6070.315805550501,5574.0,5117
13,406.84982947035587,286.0,18571.331259232527,13396.827477320567,2020-09-26,2020-09-05,5524.849829470356,5404.0,5118
14,354.62368473535116,78.0,18925.954943967878,13474.827477320567,2020-10-03,2020-09-12,4972.623684735351,4696.0,4618
15,484.43571553090624,255.0,19410.390659498786,13729.827477320567,2020-10-10,2020-09-19,5201.435715530906,4972.0,4717
16,627.3661631164059,228.0,20037.756822615193,13957.827477320567,2020-10-17,2020-09-26,5409.366163116406,5010.0,4782
17,679.0159934273797,547.0,20716.772816042572,14504.827477320567,2020-10-24,2020-10-03,4691.98400657262,4824.0,5371
18,584.1601188659715,238.0,21300.932934908546,14742.827477320567,2020-10-31,2020-10-10,4980.8398811340285,5327.0,5565
19,1749.9603789701014,1271.0,23050.893313878645,16013.827477320567,2020-11-07,2020-10-17,5020.039621029899,5499.0,6770
20,1684.7594017861393,1210.0,24735.652715664786,17223.827477320567,2020-11-14,2020-10-24,5710.240598213861,6185.0,7395
