,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,cdc_prediction_value
0,23.096654028856392,1083.7258314889723,23.096654028856392,1083.7258314889723,2020-06-13,2020-06-07,4666.903345971144,5773.725831488972
1,640.7011082164099,1064.467505419214,663.7977622452663,2148.193336908186,2020-06-20,2020-06-14,4466.70110821641,4890.467505419214
2,19.24194105122797,351.8706610185732,683.0397032964943,2500.0639979267594,2020-06-27,2020-06-21,3580.241941051228,3912.870661018573
3,65.80237995080597,1095.0850351718655,748.8420832473003,3595.149033098625,2020-07-04,2020-06-28,3405.802379950806,4435.0850351718655
4,1702.983245851014,1123.869784540802,2451.8253290983143,4719.018817639427,2020-07-11,2020-07-05,3225.016754148986,3804.130215459198
5,89.85247831697052,205.97944983617344,2541.677807415285,4924.9982674756,2020-07-18,2020-07-12,5174.8524783169705,4879.020550163827
6,896.2900842070358,472.0,3437.9678916223206,5396.9982674756,2020-07-25,2020-07-19,5088.709915792964,5513.0
7,1437.577820649466,522.0,4875.545712271787,5918.9982674756,2020-08-01,2020-07-26,5993.422179350534,6909.0
8,346.9856852864914,496.0,5222.5313975582785,6414.9982674756,2020-08-08,2020-08-02,6513.014314713509,7356.0
9,134.09088649480327,730.0,5356.622284053082,7144.9982674756,2020-08-15,2020-08-09,6692.090886494803,7288.0
10,279.2735258371122,489.0,5635.895809890194,7633.9982674756,2020-08-22,2020-08-16,6440.273525837112,6650.0
11,143.0223884285242,491.0,5778.918198318718,8124.9982674756,2020-08-29,2020-08-23,6013.022388428524,6361.0
12,287.19546797056137,588.0,6066.1136662892795,8712.9982674756,2020-09-05,2020-08-30,5693.195467970561,5994.0
13,478.4030150707367,908.0,6544.516681360016,9620.9982674756,2020-09-12,2020-09-06,5178.403015070737,5608.0
14,203.09306722446672,106.0,6747.609748584483,9726.9982674756,2020-09-19,2020-09-13,4872.906932775533,4970.0
15,494.0704339520953,163.0,7241.680182536578,9889.9982674756,2020-09-26,2020-09-20,4629.929566047905,4961.0
16,371.4017992046838,561.0,7613.081981741262,10450.9982674756,2020-10-03,2020-09-27,4938.401799204684,5128.0
17,231.94393993593167,109.0,7845.025921677194,10559.9982674756,2020-10-10,2020-10-04,4476.056060064068,4817.0
18,42.54947350873044,361.0,7887.575395185924,10920.9982674756,2020-10-17,2020-10-11,4685.45052649127,5089.0
19,561.8571538555207,345.0,8449.432549041445,11265.9982674756,2020-10-24,2020-10-18,4794.142846144479,5011.0
20,181.2651201260578,211.0,8630.697669167503,11476.9982674756,2020-10-31,2020-10-25,5334.734879873942,5727.0
21,1314.3620266809266,532.0,9945.05969584843,12008.9982674756,2020-11-07,2020-11-01,5427.637973319073,6210.0
22,662.472973488273,454.0,10607.532669336702,12462.9982674756,2020-11-14,2020-11-08,6721.527026511727,6930.0
23,2700.833477320637,1429.0,13308.36614665734,13891.9982674756,2020-11-21,2020-11-15,7397.166522679363,8669.0
24,788.1030216860527,1313.0,14096.469168343392,15204.9982674756,2020-11-28,2020-11-22,10575.103021686053,11100.0
25,5552.997232665319,3218.0,19649.46640100871,18422.9982674756,2020-12-05,2020-11-29,9163.002767334681,11498.0
26,1089.9418212866985,1202.0,20739.40822229541,19624.9982674756,2020-12-12,2020-12-06,15195.058178713301,15083.0
27,1379.0011255923346,221.0,22118.409347887744,19845.9982674756,2020-12-19,2020-12-13,16181.998874407665,17340.0
28,2431.5141625245997,4546.0,24549.923510412344,24391.9982674756,2020-12-26,2020-12-20,17392.5141625246,19507.0
29,4322.35452715567,25.0,28872.278037568016,24416.9982674756,2021-01-02,2020-12-27,13185.64547284433,17533.0
30,4518.558419166497,3213.0,33390.83645673451,27629.9982674756,2021-01-09,2021-01-03,16635.441580833503,17941.0
31,660.807032974797,848.0,34051.64348970931,28477.9982674756,2021-01-16,2021-01-10,21234.192967025203,21047.0
32,857.4932465894344,2944.0,34909.13673629875,31421.9982674756,2021-01-23,2021-01-17,20930.493246589434,23017.0
33,86.18525944488283,669.0,34995.32199574364,32090.9982674756,2021-01-30,2021-01-24,20319.814740555117,21075.0
34,41.43429104081224,992.0,35036.75628678445,33082.9982674756,2021-02-06,2021-01-31,19511.434291040812,20462.0
35,1782.7102687890329,3349.0,36819.46655557348,36431.9982674756,2021-02-13,2021-02-07,18119.710268789033,19686.0
36,2894.3264944082694,5632.0,39713.79304998175,42063.9982674756,2021-02-20,2021-02-14,14977.32649440827,17715.0
37,715.1635562260144,484.0,40428.956606207765,42547.9982674756,2021-02-27,2021-02-21,12089.836443773986,12321.0
38,804.5212611266143,357.0,41233.47786733438,42904.9982674756,2021-03-06,2021-02-28,11996.521261126614,11549.0
39,1447.3723085042075,2109.0,42680.85017583859,45013.9982674756,2021-03-13,2021-03-07,9705.372308504207,10367.0
40,848.7293625182665,1719.0,43529.579538356855,46732.9982674756,2021-03-20,2021-03-14,7578.7293625182665,8449.0
41,460.93173243331603,506.0,43990.51127079017,47238.9982674756,2021-03-27,2021-03-21,6003.068267566684,6970.0
42,625.5118165848808,998.0,44616.023087375055,48236.9982674756,2021-04-03,2021-03-28,6084.511816584881,6457.0
43,1975.8479755224207,809.0,46591.87106289747,49045.9982674756,2021-04-10,2021-04-04,4626.152024477579,5793.0
44,1378.0338503365356,1058.0,47969.90491323401,50103.9982674756,2021-04-17,2021-04-11,6127.033850336536,5807.0
45,345.8367059459215,555.0,48315.74161917993,50658.9982674756,2021-04-24,2021-04-18,4331.1632940540785,5232.0
46,155.90943399394564,269.0,48471.651053173875,50927.9982674756,2021-05-01,2021-04-25,4283.090566006054,4708.0
47,115.59087925262156,99.0,48587.2419324265,51026.9982674756,2021-05-08,2021-05-02,4203.409120747378,4418.0
48,62.24234896599046,486.0,48649.48428139249,51512.9982674756,2021-05-15,2021-05-09,3808.7576510340095,4357.0
49,3.3991439909100336,186.0,48652.8834253834,51698.9982674756,2021-05-22,2021-05-16,3552.60085600909,3742.0
50,1271.949649166263,1186.0,49924.833074549664,52884.9982674756,2021-05-29,2021-05-23,3141.050350833737,3227.0
