,error_euler,error_cdc_ensemble,cum_error_euler,cum_error_cdc_ensemble,target_prediction_date,prediction_made_date
0,1235.3017570058855,1083.7258314889723,1235.3017570058855,1083.7258314889723,2020-06-13,2020-05-24
1,2156.8786655591794,1064.467505419214,3392.180422565065,2148.193336908186,2020-06-20,2020-05-31
2,594.0325782633154,351.8706610185732,3986.2130008283802,2500.0639979267594,2020-06-27,2020-06-07
3,1072.7322295699787,1095.0850351718655,5058.945230398359,3595.149033098625,2020-07-04,2020-06-14
4,1602.2481233661983,1123.869784540802,6661.193353764557,4719.018817639427,2020-07-11,2020-06-21
5,1754.8203105966136,205.97944983617344,8416.013664361171,4924.9982674756,2020-07-18,2020-06-28
6,2812.673240014763,472.0,11228.686904375934,5396.9982674756,2020-07-25,2020-07-05
7,1932.5708420668961,522.0,13161.25774644283,5918.9982674756,2020-08-01,2020-07-12
8,1794.0320496341092,496.0,14955.28979607694,6414.9982674756,2020-08-08,2020-07-19
9,422.50716911774816,730.0,15377.796965194688,7144.9982674756,2020-08-15,2020-07-26
10,61.005675343193616,489.0,15438.80264053788,7633.9982674756,2020-08-22,2020-08-02
11,695.2397561968064,491.0,16134.042396734687,8124.9982674756,2020-08-29,2020-08-09
12,909.874720783434,588.0,17043.91711751812,8712.9982674756,2020-09-05,2020-08-16
13,1021.823156320057,908.0,18065.74027383818,9620.9982674756,2020-09-12,2020-08-23
14,403.40881400985745,106.0,18469.149087848036,9726.9982674756,2020-09-19,2020-08-30
15,167.04801382479855,163.0,18636.197101672835,9889.9982674756,2020-09-26,2020-09-06
16,402.80991134868236,561.0,19039.007013021517,10450.9982674756,2020-10-03,2020-09-13
17,497.1801352603934,109.0,19536.18714828191,10559.9982674756,2020-10-10,2020-09-20
18,143.98128224324046,361.0,19680.16843052515,10920.9982674756,2020-10-17,2020-09-27
19,1040.9066282490157,345.0,20721.075058774168,11265.9982674756,2020-10-24,2020-10-04
20,814.3688583342037,211.0,21535.443917108372,11476.9982674756,2020-10-31,2020-10-11
21,1975.3435585192938,532.0,23510.787475627665,12008.9982674756,2020-11-07,2020-10-18
22,2009.676212983949,454.0,25520.463688611613,12462.9982674756,2020-11-14,2020-10-25
23,4717.777969005826,1429.0,30238.24165761744,13891.9982674756,2020-11-21,2020-11-01
24,3031.6830575083104,1313.0,33269.92471512575,15204.9982674756,2020-11-28,2020-11-08
25,7248.995941204208,3218.0,40518.92065632996,18422.9982674756,2020-12-05,2020-11-15
26,5134.324191692665,1202.0,45653.24484802262,19624.9982674756,2020-12-12,2020-11-22
27,9285.280106202614,221.0,54938.524954225235,19845.9982674756,2020-12-19,2020-11-29
28,1212.0399824251235,4546.0,56150.56493665036,24391.9982674756,2020-12-26,2020-12-06
29,1429.3570568021187,25.0,57579.92199345247,24416.9982674756,2021-01-02,2020-12-13
30,4006.579485415037,3213.0,61586.50147886751,27629.9982674756,2021-01-09,2020-12-20
31,10682.889428680399,848.0,72269.3909075479,28477.9982674756,2021-01-16,2020-12-27
32,3772.294013750976,2944.0,76041.68492129887,31421.9982674756,2021-01-23,2021-01-03
33,1281.9814911149224,669.0,77323.66641241379,32090.9982674756,2021-01-30,2021-01-10
34,335.3253305254548,992.0,77658.99174293925,33082.9982674756,2021-02-06,2021-01-17
35,3916.0975678584364,3349.0,81575.08931079769,36431.9982674756,2021-02-13,2021-01-24
36,6296.337189164256,5632.0,87871.42649996195,42063.9982674756,2021-02-20,2021-01-31
37,4248.380476037433,484.0,92119.80697599938,42547.9982674756,2021-02-27,2021-02-07
38,2345.7709836316535,357.0,94465.57795963103,42904.9982674756,2021-03-06,2021-02-14
39,3378.777035829782,2109.0,97844.35499546082,45013.9982674756,2021-03-13,2021-02-21
40,4418.978744902592,1719.0,102263.3337403634,46732.9982674756,2021-03-20,2021-02-28
41,2204.898689003003,506.0,104468.23242936641,47238.9982674756,2021-03-27,2021-03-07
42,1281.6232083054647,998.0,105749.85563767188,48236.9982674756,2021-04-03,2021-03-14
43,1240.8126126750194,809.0,106990.66825034689,49045.9982674756,2021-04-10,2021-03-21
44,1084.5209992314667,1058.0,108075.18924957835,50103.9982674756,2021-04-17,2021-03-28
45,723.9829509675856,555.0,108799.17220054595,50658.9982674756,2021-04-24,2021-04-04
46,1368.7343155805402,269.0,110167.90651612649,50927.9982674756,2021-05-01,2021-04-11
47,446.0783307273341,99.0,110613.98484685383,51026.9982674756,2021-05-08,2021-04-18
48,139.04735482062188,486.0,110753.03220167445,51512.9982674756,2021-05-15,2021-04-25
49,546.3629897068713,186.0,111299.39519138132,51698.9982674756,2021-05-22,2021-05-02
50,1013.8611106306803,1186.0,112313.256302012,52884.9982674756,2021-05-29,2021-05-09
