date,diff_reg
1/26/20,-0.0008422388468871677
1/27/20,0.0012690638960679282
1/28/20,0.0007821168933946762
1/29/20,-0.0015167906534093922
1/30/20,-0.0007455391743160754
1/31/20,-0.0003453547605416457
2/1/20,0.003250804090357355
2/2/20,0.002916593610050133
2/3/20,-0.006791623572699319
2/4/20,-0.00455890160105208
2/5/20,0.00017375013521562415
2/6/20,0.011743963458286244
2/7/20,0.012220964213623238
2/8/20,-0.012941056810681452
2/9/20,-0.007163648509726004
2/10/20,-0.023050694271006762
2/11/20,0.021482339395879263
2/12/20,-0.008031145142823763
2/13/20,-0.031248044619052468
2/14/20,0.06959927437843998
2/15/20,0.03921015260023906
2/16/20,0.029834298504129213
2/17/20,0.017534903241165373
2/18/20,-0.0673970142853906
2/19/20,-0.017269575240438706
2/20/20,-0.24973380866472178
2/21/20,-0.26805459412304355
2/22/20,0.11209200014917609
2/23/20,-0.019752123613084205
2/24/20,0.00714509272048415
2/25/20,-0.1291627287011917
2/26/20,0.5620132974944055
2/27/20,0.41781969311730677
2/28/20,-0.08923152967490872
2/29/20,1.4541282652818448
3/1/20,1.6271957937185233
3/2/20,2.4403666122437575
3/3/20,2.616321637285292
3/4/20,1.3069703367287435
3/5/20,0.1496534623657565
3/6/20,1.2085136509373764
3/7/20,3.297832424811668
3/8/20,3.7771345070175935
3/9/20,2.2117240706258805
3/10/20,1.7315338811115253
3/11/20,2.5782455031276044
3/12/20,4.6112737361476235
3/13/20,7.7437995869505665
3/14/20,12.494510149617545
3/15/20,17.892880665242224
3/16/20,24.10668339772575
3/17/20,30.913652653622396
3/18/20,41.43169455873055
3/19/20,58.64987831997832
3/20/20,82.21908405320339
3/21/20,111.53941636419235
3/22/20,147.33488287593312
3/23/20,192.41617294843132
3/24/20,248.07477697717374
3/25/20,316.16285667072765
3/26/20,397.6913587184645
3/27/20,495.68917981821664
3/28/20,611.8500771906831
3/29/20,742.679684272301
3/30/20,883.9731628564471
3/31/20,1033.382149833287
4/1/20,1187.718384321803
4/2/20,1343.7010121314897
4/3/20,1498.7970573220632
4/4/20,1647.3434717176212
4/5/20,1781.3756370741928
4/6/20,1895.5307866862458
4/7/20,1986.0262442921526
4/8/20,2055.0421498926316
4/9/20,2106.9589193779293
4/10/20,2145.63589117194
4/11/20,2172.447222072738
4/12/20,2192.2716953993063
4/13/20,2206.54942032904
4/14/20,2216.0482505355467
4/15/20,2218.1434877102433
4/16/20,2214.229874115277
4/17/20,2208.035238977645
4/18/20,2202.783389505406
4/19/20,2197.558119672757
4/20/20,2185.8937155925955
4/21/20,2168.651964446365
4/22/20,2143.9137825813673
4/23/20,2109.827471965757
4/24/20,2068.07234622665
4/25/20,2025.735334677642
4/26/20,1989.6557466306115
4/27/20,1960.190911620212
4/28/20,1932.5665392902115
4/29/20,1905.4811882173265
4/30/20,1879.9620724711433
5/1/20,1856.0199813081927
5/2/20,1832.024497306346
5/3/20,1806.8186605862722
5/4/20,1781.1281656061847
5/5/20,1753.8530793838586
5/6/20,1720.6942686791429
5/7/20,1679.1486033676208
5/8/20,1632.7601415551505
5/9/20,1587.1385263105192
5/10/20,1544.7514673660967
5/11/20,1508.0065556177185
5/12/20,1478.2039416947127
5/13/20,1452.928527825316
5/14/20,1425.8183631335546
5/15/20,1393.606663751469
5/16/20,1353.3760303088243
5/17/20,1310.3649890293498
5/18/20,1266.6998859364232
5/19/20,1223.4386064200824
5/20/20,1178.3705372794711
5/21/20,1132.8246400303376
5/22/20,1091.2091434937563
5/23/20,1053.417232278296
5/24/20,1018.0557435176252
5/25/20,988.2429246942812
5/26/20,966.2347441755157
5/27/20,953.5949718907542
5/28/20,947.3055625313165
5/29/20,940.7065379977449
5/30/20,933.5110644717973
5/31/20,922.1581256500363
6/1/20,906.9224783001496
6/2/20,887.1183107538752
6/3/20,866.358313688018
6/4/20,843.7820552008491
6/5/20,819.5926735705854
6/6/20,793.6248413579158
6/7/20,767.3162442587244
6/8/20,741.7653345797172
6/9/20,719.0731057438203
6/10/20,700.2682834343508
6/11/20,687.4305920640328
6/12/20,679.3676498052271
6/13/20,670.1855723616372
6/14/20,657.473449778808
6/15/20,642.8717435630961
6/16/20,628.2570943985255
6/17/20,613.1592904557377
6/18/20,598.3562891363271
6/19/20,586.2305421065367
6/20/20,576.4900865669739
6/21/20,571.5369192462363
6/22/20,567.0236054394853
6/23/20,559.1530886244208
6/24/20,548.802396470813
6/25/20,539.0651637134528
6/26/20,531.7088635621808
6/27/20,527.0151567938916
6/28/20,522.1782112447617
6/29/20,520.4114907642552
6/30/20,526.1816078203149
7/1/20,537.8908387723151
7/2/20,553.9037122206468
7/3/20,574.0251704785678
7/4/20,600.3256697896113
7/5/20,627.848410047972
7/6/20,654.8469139068344
7/7/20,680.7726140524071
7/8/20,704.3356284661501
7/9/20,726.0461408853927
7/10/20,744.6257760350344
7/11/20,761.112326739114
7/12/20,773.8382966755019
7/13/20,782.4282075762483
7/14/20,787.2795249704553
7/15/20,789.695081679791
7/16/20,792.5332869393848
7/17/20,800.3271474674
7/18/20,816.6065704721532
7/19/20,841.0328293923624
7/20/20,873.1290491961598
7/21/20,909.1151755031763
7/22/20,945.6835465062625
7/23/20,980.0605793619417
7/24/20,1009.6148520405019
7/25/20,1033.5955060100264
7/26/20,1054.3351816484192
7/27/20,1071.284327323368
7/28/20,1082.1217481827805
7/29/20,1086.6879775729385
7/30/20,1088.3652401699032
7/31/20,1085.8172187878479
8/1/20,1077.1799133760842
8/2/20,1065.4217891022336
8/3/20,1052.1694162288977
