,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,4129.0,3031.0,4129.0,3031.0,2021-05-08,2021-04-26,14701,13603,10572
1,4185.0,2002.0,8314.0,5033.0,2021-05-15,2021-05-03,12804,10621,8619
2,3862.0,1937.0,12176.0,6970.0,2021-05-22,2021-05-10,10572,8647,6710
3,3466.0,1393.0,15642.0,8363.0,2021-05-29,2021-05-17,8619,6546,5153
4,2732.0,649.0,18374.0,9012.0,2021-06-05,2021-05-24,6710,4627,3978
5,1353.0,444.0,19727.0,9456.0,2021-06-12,2021-05-31,5153,3356,3800
6,1361.0,111.0,21088.0,9567.0,2021-06-19,2021-06-07,3978,2728,2617
7,1414.0,110.0,22502.0,9677.0,2021-06-26,2021-06-14,3800,2496,2386
8,679.0,189.0,23181.0,9866.0,2021-07-03,2021-06-21,2617,1749,1938
9,1012.0,306.0,24193.0,10172.0,2021-07-10,2021-06-28,2386,1680,1374
10,914.0,481.0,25107.0,10653.0,2021-07-17,2021-07-05,1938,1505,1024
11,154.0,491.0,25261.0,11144.0,2021-07-24,2021-07-12,1374,1711,1220
12,585.0,225.0,25846.0,11369.0,2021-07-31,2021-07-19,1024,1834,1609
13,870.0,182.0,26716.0,11551.0,2021-08-07,2021-07-26,1220,1908,2090
14,694.0,31.0,27410.0,11582.0,2021-08-14,2021-08-02,1609,2272,2303
15,997.0,612.0,28407.0,12194.0,2021-08-21,2021-08-09,2090,2475,3087
16,1530.0,1110.0,29937.0,13304.0,2021-08-28,2021-08-16,2303,2723,3833
17,893.0,403.0,30830.0,13707.0,2021-09-04,2021-08-23,3087,3577,3980
18,344.0,136.0,31174.0,13843.0,2021-09-11,2021-08-30,3833,4041,4177
19,595.0,12.0,31769.0,13855.0,2021-09-18,2021-09-06,3980,4587,4575
20,532.0,126.0,32301.0,13981.0,2021-09-25,2021-09-13,4177,4583,4709
21,145.0,77.0,32446.0,14058.0,2021-10-02,2021-09-20,4575,4797,4720
22,757.0,222.0,33203.0,14280.0,2021-10-09,2021-09-27,4709,5688,5466
23,1205.0,424.0,34408.0,14704.0,2021-10-16,2021-10-04,4720,6349,5925
24,1453.0,273.0,35861.0,14977.0,2021-10-23,2021-10-11,5466,7192,6919
25,2289.0,307.0,38150.0,15284.0,2021-10-30,2021-10-18,5925,7907,8214
26,2491.0,145.0,40641.0,15429.0,2021-11-06,2021-10-25,6919,9555,9410
27,2002.0,1296.0,42643.0,16725.0,2021-11-13,2021-11-01,8214,11512,10216
28,1904.0,2142.0,44547.0,18867.0,2021-11-20,2021-11-08,9410,13456,11314
29,1746.0,3337.0,46293.0,22204.0,2021-11-27,2021-11-15,10216,15299,11962
30,1468.0,4283.0,47761.0,26487.0,2021-12-04,2021-11-22,11314,17065,12782
31,1471.0,3999.0,49232.0,30486.0,2021-12-11,2021-11-29,11962,17432,13433
32,708.0,3347.0,49940.0,33833.0,2021-12-18,2021-12-06,12782,16837,13490
33,1578.0,3855.0,51518.0,37688.0,2021-12-25,2021-12-13,13433,15710,11855
34,1330.0,2255.0,52848.0,39943.0,2022-01-01,2021-12-20,13490,14415,12160
35,222.0,1092.0,53070.0,41035.0,2022-01-08,2021-12-27,11855,12725,11633
36,1216.0,160.0,54286.0,41195.0,2022-01-15,2022-01-03,12160,13536,13376
