,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,6397.299067731166,3724.0,6397.299067731166,3724.0,2021-05-15,2021-04-26,15016.299067731166,12343,8619
1,5231.391939845009,2523.0,11628.691007576175,6247.0,2021-05-22,2021-05-03,11941.391939845009,9233,6710
2,5481.301646106422,2296.0,17109.992653682595,8543.0,2021-05-29,2021-05-10,10634.301646106422,7449,5153
3,3466.6074857893736,1499.0,20576.600139471968,10042.0,2021-06-05,2021-05-17,7444.607485789374,5477,3978
4,2461.3769211080544,81.0,23037.977060580022,10123.0,2021-06-12,2021-05-24,6261.376921108054,3719,3800
5,2032.3122765162834,5.0,25070.289337096307,10128.0,2021-06-19,2021-05-31,4649.312276516283,2622,2617
6,1401.2126268789962,71.0,26471.5019639753,10199.0,2021-06-26,2021-06-07,3787.212626878996,2315,2386
7,1719.6720679191621,203.0,28191.174031894465,10402.0,2021-07-03,2021-06-14,3657.672067919162,2141,1938
8,942.8011937464144,50.0,29133.97522564088,10452.0,2021-07-10,2021-06-21,2316.8011937464144,1424,1374
9,1621.6749162455676,508.0,30755.650141886446,10960.0,2021-07-17,2021-06-28,2645.6749162455676,1532,1024
10,189.81619203143464,304.0,30945.46633391788,11264.0,2021-07-24,2021-07-05,1409.8161920314346,1524,1220
11,290.2505447134381,750.0,31235.71687863132,12014.0,2021-07-31,2021-07-12,1318.749455286562,2359,1609
12,1160.33237100273,354.0,32396.04924963405,12368.0,2021-08-07,2021-07-19,929.66762899727,2444,2090
13,887.5867323438015,139.0,33283.63598197785,12507.0,2021-08-14,2021-07-26,1415.4132676561985,2442,2303
14,1352.9608299493973,637.0,34636.59681192725,13144.0,2021-08-21,2021-08-02,1734.0391700506027,2450,3087
15,1624.909388955426,1181.0,36261.50620088268,14325.0,2021-08-28,2021-08-09,2208.090611044574,2652,3833
16,1624.7528979195722,1080.0,37886.25909880225,15405.0,2021-09-04,2021-08-16,2355.247102080428,2900,3980
17,761.8047434118116,277.0,38648.06384221406,15682.0,2021-09-11,2021-08-23,3415.1952565881884,3900,4177
18,774.2131889544175,217.0,39422.27703116848,15899.0,2021-09-18,2021-08-30,3800.7868110455825,4358,4575
19,642.8679213751657,207.0,40065.14495254365,16106.0,2021-09-25,2021-09-06,4066.1320786248343,4916,4709
20,638.9709652530787,51.0,40704.11591779673,16157.0,2021-10-02,2021-09-13,4081.0290347469213,4771,4720
21,842.9177857726099,291.0,41547.03370356934,16448.0,2021-10-09,2021-09-20,4623.08221422739,5175,5466
22,1241.1401191036175,459.0,42788.17382267296,16907.0,2021-10-16,2021-09-27,4683.8598808963825,6384,5925
23,2306.359963242672,534.0,45094.53378591563,17441.0,2021-10-23,2021-10-04,4612.640036757328,7453,6919
24,2257.130729284455,149.0,47351.664515200086,17590.0,2021-10-30,2021-10-11,5956.869270715545,8363,8214
25,3164.4669236818445,672.0,50516.13143888193,18262.0,2021-11-06,2021-10-18,6245.5330763181555,8738,9410
26,2902.182984669481,706.0,53418.31442355141,18968.0,2021-11-13,2021-10-25,7313.817015330519,10922,10216
27,2474.6980543199516,1804.0,55893.012477871365,20772.0,2021-11-20,2021-11-01,8839.301945680048,13118,11314
28,1847.9940347934134,3360.0,57741.00651266478,24132.0,2021-11-27,2021-11-08,10114.005965206587,15322,11962
29,2491.6649360961183,5313.0,60232.6714487609,29445.0,2021-12-04,2021-11-15,10290.335063903882,18095,12782
30,1646.682968925512,6512.0,61879.35441768641,35957.0,2021-12-11,2021-11-22,11786.317031074488,19945,13433
31,1342.35769622107,5722.0,63221.71211390748,41679.0,2021-12-18,2021-11-29,12147.64230377893,19212,13490
32,1329.724664657424,5646.0,64551.43677856491,47325.0,2021-12-25,2021-12-06,13184.724664657424,17501,11855
33,1702.7848461664507,3159.0,66254.22162473136,50484.0,2022-01-01,2021-12-13,13862.78484616645,15319,12160
34,2044.7756146191878,1751.0,68298.99723935054,52235.0,2022-01-08,2021-12-20,13677.775614619188,13384,11633
35,3280.8840654143387,606.0,71579.88130476489,52841.0,2022-01-15,2021-12-27,10095.115934585661,12770,13376
