,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,4339.199378487443,3031.0,4339.199378487443,3031.0,2021-05-08,2021-04-26,14911.199378487443,13603,10572
1,3609.9279598966714,2002.0,7949.127338384114,5033.0,2021-05-15,2021-05-03,12228.927959896671,10621,8619
2,3903.5344307376145,1937.0,11852.661769121729,6970.0,2021-05-22,2021-05-10,10613.534430737614,8647,6710
3,2683.071657192915,1393.0,14535.733426314644,8363.0,2021-05-29,2021-05-17,7836.071657192915,6546,5153
4,2432.917947405369,649.0,16968.651373720015,9012.0,2021-06-05,2021-05-24,6410.917947405369,4627,3978
5,1017.2081843441892,444.0,17985.859558064203,9456.0,2021-06-12,2021-05-31,4817.208184344189,3356,3800
6,1233.808417919331,111.0,19219.667975983535,9567.0,2021-06-19,2021-06-07,3850.808417919331,2728,2617
7,1319.114711946108,110.0,20538.782687929644,9677.0,2021-06-26,2021-06-14,3705.114711946108,2496,2386
8,478.8674624976097,189.0,21017.650150427253,9866.0,2021-07-03,2021-06-21,2416.8674624976097,1749,1938
9,1185.1166108303782,306.0,22202.76676125763,10172.0,2021-07-10,2021-06-28,2559.1166108303782,1680,1374
10,561.8774613542898,481.0,22764.644222611918,10653.0,2021-07-17,2021-07-05,1585.8774613542898,1505,1024
11,117.1663035243746,491.0,22881.810526136294,11144.0,2021-07-24,2021-07-12,1337.1663035243746,1711,1220
12,647.8882473351534,225.0,23529.69877347145,11369.0,2021-07-31,2021-07-19,961.1117526648466,1834,1609
13,739.7244882292011,182.0,24269.42326170065,11551.0,2021-08-07,2021-07-26,1350.2755117707989,1908,2090
14,610.6405532995982,31.0,24880.06381500025,11582.0,2021-08-14,2021-08-02,1692.3594467004018,2272,2303
15,918.2729259702842,612.0,25798.33674097053,12194.0,2021-08-21,2021-08-09,2168.727074029716,2475,3087
16,1495.1685986130483,1110.0,27293.50533958358,13304.0,2021-08-28,2021-08-16,2337.8314013869517,2723,3833
17,674.2031622745412,403.0,27967.70850185812,13707.0,2021-09-04,2021-08-23,3305.7968377254588,3577,3980
18,365.4754593029447,136.0,28333.183961161063,13843.0,2021-09-11,2021-08-30,3811.5245406970553,4041,4177
19,537.5786142501106,12.0,28870.762575411172,13855.0,2021-09-18,2021-09-06,4037.4213857498894,4587,4575
20,595.9806435020528,126.0,29466.743218913223,13981.0,2021-09-25,2021-09-13,4113.019356497947,4583,4709
21,112.94519051507268,77.0,29579.688409428294,14058.0,2021-10-02,2021-09-20,4607.054809484927,4797,4720
22,773.760079402412,222.0,30353.448488830705,14280.0,2021-10-09,2021-09-27,4692.239920597588,5688,5466
23,1276.5733088284478,424.0,31630.021797659152,14704.0,2021-10-16,2021-10-04,4648.426691171552,6349,5925
24,1125.75381952297,273.0,32755.775617182124,14977.0,2021-10-23,2021-10-11,5793.24618047703,7192,6919
25,2075.3112824545633,307.0,34831.086899636684,15284.0,2021-10-30,2021-10-18,6138.688717545437,7907,8214
26,2227.7886564463206,145.0,37058.875556083,15429.0,2021-11-06,2021-10-25,7182.211343553679,9555,9410
27,1585.132036213301,1296.0,38644.0075922963,16725.0,2021-11-13,2021-11-01,8630.867963786699,11512,10216
28,1434.6626898622762,2142.0,40078.67028215858,18867.0,2021-11-20,2021-11-08,9879.337310137724,13456,11314
29,1696.4432907307455,3337.0,41775.11357288933,22204.0,2021-11-27,2021-11-15,10265.556709269254,15299,11962
30,1153.1219792836746,4283.0,42928.235552173006,26487.0,2021-12-04,2021-11-22,11628.878020716325,17065,12782
31,1347.23846414738,3999.0,44275.47401632038,30486.0,2021-12-11,2021-11-29,12085.76153585262,17432,13433
32,439.516890228384,3347.0,44714.990906548766,33833.0,2021-12-18,2021-12-06,13050.483109771616,16837,13490
33,1864.5232307776332,3855.0,46579.5141373264,37688.0,2021-12-25,2021-12-13,13719.523230777633,15710,11855
34,1455.1837430794585,2255.0,48034.69788040586,39943.0,2022-01-01,2021-12-20,13615.183743079459,14415,12160
35,951.2560436095591,1092.0,48985.95392401542,41035.0,2022-01-08,2021-12-27,10681.74395639044,12725,11633
36,771.9040091500137,160.0,49757.85793316543,41195.0,2022-01-15,2022-01-03,12604.095990849986,13536,13376
