,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,8411.398756974888,4636.0,8411.398756974888,4636.0,2021-05-22,2021-04-26,15121.398756974888,11346,6710
1,6500.855919793345,3006.0,14912.254676768232,7642.0,2021-05-29,2021-05-03,11653.855919793345,8159,5153
2,6677.068861475229,2577.0,21589.32353824346,10219.0,2021-06-05,2021-05-10,10655.068861475229,6555,3978
3,3253.143314385831,869.0,24842.46685262929,11088.0,2021-06-12,2021-05-17,7053.143314385831,4669,3800
4,3494.835894810739,459.0,28337.30274744003,11547.0,2021-06-19,2021-05-24,6111.835894810739,3076,2617
5,2095.4163686883785,215.0,30432.719116128406,11762.0,2021-06-26,2021-05-31,4481.4163686883785,2171,2386
6,1785.6168358386617,263.0,32218.335951967067,12025.0,2021-07-03,2021-06-07,3723.6168358386617,2201,1938
7,2236.229423892216,613.0,34454.56537585928,12638.0,2021-07-10,2021-06-14,3610.229423892216,1987,1374
8,1192.7349249952194,225.0,35647.3003008545,12863.0,2021-07-17,2021-06-21,2216.7349249952194,1249,1024
9,1512.2332216607565,259.0,37159.53352251525,13122.0,2021-07-24,2021-06-28,2732.2332216607565,1479,1220
10,375.24507729142033,47.0,37534.778599806676,13169.0,2021-07-31,2021-07-05,1233.7549227085797,1656,1609
11,789.6673929512508,1323.0,38324.44599275793,14492.0,2021-08-07,2021-07-12,1300.3326070487492,3413,2090
12,1404.7764946703069,779.0,39729.22248742824,15271.0,2021-08-14,2021-07-19,898.2235053296932,3082,2303
13,1606.448976458402,44.0,41335.67146388664,15315.0,2021-08-21,2021-07-26,1480.551023541598,3131,3087
14,2057.2811065991964,1213.0,43392.95257048584,16528.0,2021-08-28,2021-08-02,1775.7188934008036,2620,3833
15,1732.5458519405684,1170.0,45125.498422426404,17698.0,2021-09-04,2021-08-09,2247.4541480594316,2810,3980
16,1804.3371972260966,1044.0,46929.8356196525,18742.0,2021-09-11,2021-08-16,2372.6628027739034,3133,4177
17,1050.4063245490825,257.0,47980.24194420158,18999.0,2021-09-18,2021-08-23,3524.5936754509175,4318,4575
18,918.9509186058899,210.0,48899.192862807475,19209.0,2021-09-25,2021-08-30,3790.04908139411,4919,4709
19,625.1572285002212,627.0,49524.35009130769,19836.0,2021-10-02,2021-09-06,4094.842771499779,5347,4720
20,1416.961287004105,453.0,50941.311378311795,20289.0,2021-10-09,2021-09-13,4049.038712995895,5013,5466
21,1285.8903810301463,166.0,52227.201759341944,20455.0,2021-10-16,2021-09-20,4639.109618969854,5759,5925
22,2243.520158804824,20.0,54470.721918146766,20475.0,2021-10-23,2021-09-27,4675.479841195176,6939,6919
23,3637.1466176568956,680.0,58107.86853580366,21155.0,2021-10-30,2021-10-04,4576.853382343104,8894,8214
24,3289.50763904594,214.0,61397.3761748496,21369.0,2021-11-06,2021-10-11,6120.49236095406,9624,9410
25,3863.6225649091266,574.0,65260.99873975873,21943.0,2021-11-13,2021-10-18,6352.377435090873,9642,10216
26,3868.577312892641,1126.0,69129.57605265138,23069.0,2021-11-20,2021-10-25,7445.422687107359,12440,11314
27,2914.264072426602,2232.0,72043.84012507799,25301.0,2021-11-27,2021-11-01,9047.735927573398,14194,11962
28,2433.3253797245525,4760.0,74477.16550480254,30061.0,2021-12-04,2021-11-08,10348.674620275448,17542,12782
29,3117.886581461491,7783.0,77595.05208626404,37844.0,2021-12-11,2021-11-15,10315.113418538509,21216,13433
30,1546.2439585673492,9287.0,79141.2960448314,47131.0,2021-12-18,2021-11-22,11943.75604143265,22777,13490
31,354.52307170524,9003.0,79495.81911653664,56134.0,2021-12-25,2021-11-29,12209.52307170524,20858,11855
32,1158.966219543232,5816.0,80654.78533607988,61950.0,2022-01-01,2021-12-06,13318.966219543232,17976,12160
33,2373.0464615552664,3212.0,83027.83179763514,65162.0,2022-01-08,2021-12-13,14006.046461555266,14845,11633
34,364.367486158917,468.0,83392.19928379406,65630.0,2022-01-15,2021-12-20,13740.367486158917,12908,13376
