,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,7991.0,4636.0,7991.0,4636.0,2021-05-22,2021-04-26,14701,11346,6710
1,7651.0,3006.0,15642.0,7642.0,2021-05-29,2021-05-03,12804,8159,5153
2,6594.0,2577.0,22236.0,10219.0,2021-06-05,2021-05-10,10572,6555,3978
3,4819.0,869.0,27055.0,11088.0,2021-06-12,2021-05-17,8619,4669,3800
4,4093.0,459.0,31148.0,11547.0,2021-06-19,2021-05-24,6710,3076,2617
5,2767.0,215.0,33915.0,11762.0,2021-06-26,2021-05-31,5153,2171,2386
6,2040.0,263.0,35955.0,12025.0,2021-07-03,2021-06-07,3978,2201,1938
7,2426.0,613.0,38381.0,12638.0,2021-07-10,2021-06-14,3800,1987,1374
8,1593.0,225.0,39974.0,12863.0,2021-07-17,2021-06-21,2617,1249,1024
9,1166.0,259.0,41140.0,13122.0,2021-07-24,2021-06-28,2386,1479,1220
10,329.0,47.0,41469.0,13169.0,2021-07-31,2021-07-05,1938,1656,1609
11,716.0,1323.0,42185.0,14492.0,2021-08-07,2021-07-12,1374,3413,2090
12,1279.0,779.0,43464.0,15271.0,2021-08-14,2021-07-19,1024,3082,2303
13,1867.0,44.0,45331.0,15315.0,2021-08-21,2021-07-26,1220,3131,3087
14,2224.0,1213.0,47555.0,16528.0,2021-08-28,2021-08-02,1609,2620,3833
15,1890.0,1170.0,49445.0,17698.0,2021-09-04,2021-08-09,2090,2810,3980
16,1874.0,1044.0,51319.0,18742.0,2021-09-11,2021-08-16,2303,3133,4177
17,1488.0,257.0,52807.0,18999.0,2021-09-18,2021-08-23,3087,4318,4575
18,876.0,210.0,53683.0,19209.0,2021-09-25,2021-08-30,3833,4919,4709
19,740.0,627.0,54423.0,19836.0,2021-10-02,2021-09-06,3980,5347,4720
20,1289.0,453.0,55712.0,20289.0,2021-10-09,2021-09-13,4177,5013,5466
21,1350.0,166.0,57062.0,20455.0,2021-10-16,2021-09-20,4575,5759,5925
22,2210.0,20.0,59272.0,20475.0,2021-10-23,2021-09-27,4709,6939,6919
23,3494.0,680.0,62766.0,21155.0,2021-10-30,2021-10-04,4720,8894,8214
24,3944.0,214.0,66710.0,21369.0,2021-11-06,2021-10-11,5466,9624,9410
25,4291.0,574.0,71001.0,21943.0,2021-11-13,2021-10-18,5925,9642,10216
26,4395.0,1126.0,75396.0,23069.0,2021-11-20,2021-10-25,6919,12440,11314
27,3748.0,2232.0,79144.0,25301.0,2021-11-27,2021-11-01,8214,14194,11962
28,3372.0,4760.0,82516.0,30061.0,2021-12-04,2021-11-08,9410,17542,12782
29,3217.0,7783.0,85733.0,37844.0,2021-12-11,2021-11-15,10216,21216,13433
30,2176.0,9287.0,87909.0,47131.0,2021-12-18,2021-11-22,11314,22777,13490
31,107.0,9003.0,88016.0,56134.0,2021-12-25,2021-11-29,11962,20858,11855
32,622.0,5816.0,88638.0,61950.0,2022-01-01,2021-12-06,12782,17976,12160
33,1800.0,3212.0,90438.0,65162.0,2022-01-08,2021-12-13,13433,14845,11633
34,114.0,468.0,90552.0,65630.0,2022-01-15,2021-12-20,13490,12908,13376
