,error_euler,error_eu_ensemble,cum_error_euler,cum_error_eu_ensemble,target_prediction_date,prediction_made_date,euler_prediction_value,eu_prediction_value,ground_truth_incidence
0,1897.0,2104.0,1897.0,2104.0,2021-05-01,2021-04-26,14701,14908,12804
1,2232.0,1728.0,4129.0,3832.0,2021-05-08,2021-05-03,12804,12300,10572
2,1953.0,1587.0,6082.0,5419.0,2021-05-15,2021-05-10,10572,10206,8619
3,1909.0,1213.0,7991.0,6632.0,2021-05-22,2021-05-17,8619,7923,6710
4,1557.0,675.0,9548.0,7307.0,2021-05-29,2021-05-24,6710,5828,5153
5,1175.0,355.0,10723.0,7662.0,2021-06-05,2021-05-31,5153,4333,3978
6,178.0,406.0,10901.0,8068.0,2021-06-12,2021-06-07,3978,3394,3800
7,1183.0,396.0,12084.0,8464.0,2021-06-19,2021-06-14,3800,3013,2617
8,231.0,178.0,12315.0,8642.0,2021-06-26,2021-06-21,2617,2208,2386
9,448.0,29.0,12763.0,8671.0,2021-07-03,2021-06-28,2386,1967,1938
10,564.0,255.0,13327.0,8926.0,2021-07-10,2021-07-05,1938,1629,1374
11,350.0,432.0,13677.0,9358.0,2021-07-17,2021-07-12,1374,1456,1024
12,196.0,150.0,13873.0,9508.0,2021-07-24,2021-07-19,1024,1370,1220
13,389.0,20.0,14262.0,9528.0,2021-07-31,2021-07-26,1220,1589,1609
14,481.0,152.0,14743.0,9680.0,2021-08-07,2021-08-02,1609,1938,2090
15,213.0,13.0,14956.0,9693.0,2021-08-14,2021-08-09,2090,2316,2303
16,784.0,558.0,15740.0,10251.0,2021-08-21,2021-08-16,2303,2529,3087
17,746.0,629.0,16486.0,10880.0,2021-08-28,2021-08-23,3087,3204,3833
18,147.0,149.0,16633.0,11029.0,2021-09-04,2021-08-30,3833,3831,3980
19,197.0,73.0,16830.0,11102.0,2021-09-11,2021-09-06,3980,4250,4177
20,398.0,124.0,17228.0,11226.0,2021-09-18,2021-09-13,4177,4451,4575
21,134.0,85.0,17362.0,11311.0,2021-09-25,2021-09-20,4575,4624,4709
22,11.0,341.0,17373.0,11652.0,2021-10-02,2021-09-27,4709,5061,4720
23,746.0,31.0,18119.0,11683.0,2021-10-09,2021-10-04,4720,5497,5466
24,459.0,401.0,18578.0,12084.0,2021-10-16,2021-10-11,5466,6326,5925
25,994.0,115.0,19572.0,12199.0,2021-10-23,2021-10-18,5925,7034,6919
26,1295.0,153.0,20867.0,12352.0,2021-10-30,2021-10-25,6919,8367,8214
27,1196.0,548.0,22063.0,12900.0,2021-11-06,2021-11-01,8214,9958,9410
28,806.0,1441.0,22869.0,14341.0,2021-11-13,2021-11-08,9410,11657,10216
29,1098.0,1794.0,23967.0,16135.0,2021-11-20,2021-11-15,10216,13108,11314
30,648.0,2668.0,24615.0,18803.0,2021-11-27,2021-11-22,11314,14630,11962
31,820.0,2440.0,25435.0,21243.0,2021-12-04,2021-11-29,11962,15222,12782
32,651.0,2003.0,26086.0,23246.0,2021-12-11,2021-12-06,12782,15436,13433
33,57.0,2097.0,26143.0,25343.0,2021-12-18,2021-12-13,13433,15587,13490
34,1635.0,2932.0,27778.0,28275.0,2021-12-25,2021-12-20,13490,14787,11855
35,305.0,737.0,28083.0,29012.0,2022-01-01,2021-12-27,11855,12897,12160
36,527.0,1470.0,28610.0,30482.0,2022-01-08,2022-01-03,12160,13103,11633
37,1743.0,460.0,30353.0,30942.0,2022-01-15,2022-01-10,11633,12916,13376
